concept,feature
Seagull,is-Offshore
Jellyfish,need-fishing
fox,like-Dog
Dinosaur,like-Lizard
wolf,like-Dog
mouse,can-Hole
Cheetah,has-spots
Snail,like-Snail
Snail,need-fishing
Python,is-cold blood
Yak,has-horn
The sperm whale,need-Fish
Hen,can-lay eggs
Hen,can-hatch
Ewes,can-produce milk
cattle,like-sheep
cattle,has-horn
penguin,need-Fish
Squab,like-chicken
snake,is-cold blood
Oysters,need-fishing
rat,can-Hole
rabbit,has-Long Ears
Rabbit,has-Long Ears
ostrich,can-lay eggs
lizard,is-Amphibians
lizard,is-cold blood
chimpanzee,like-Monkey
mole,can-Hole
Alpaca,like-sheep
Alpaca,like-sheep
pheasant,is-Chicken
hare,has-Long Ears
hare,has-four legs
Tyrannosaurus Rex,is-Dinosaurs
Tyrannosaurus Rex,is-extinct
Timber wolf,can-Cannibals
Carp,is-Silver
moth,like-Butterfly
African elephant,has-Long Nose
African elephant,has-Ivory
Cock,has-Cockcomb
Seagull,like-Pigeon
panther,is-Leopard
Monkey,is-Smart
Monkey,like-a-chimpanzee
cattle,like-Buffalo
Crucian carp,like-carp
leopard,is-Leopard
whale,like-Shark
Koala,like-Bear
Dinosaur,is-extinct
The Dachshund,like-Sausage like
Leech,like-earthworms
Python,can-Cannibals
Python,need-Hibernate
Yak,like-Buffalo
The sperm whale,like-Shark
Ewes,can-Produce
Oysters,like-scallop
snake,need-Hibernate
Oysters,like-scallop
mouse,has-Wireless
Leech,like-earthworms
Leech,has-suction cup
Leech,like-Loach
Swan,like-goose
snail,like-tortoise
lizard,like-Gecko
lizard,can-Discolor
cricket,like-Grasshopper
cricket,like-Mantis
panda,like-Bear
duck,like-goose
pheasant,has-Cockcomb
grasshopper,like-Mantis
spider,can-spit
moth,like-carpenterworm
Persian cat,is-Cat
Persian cat,can-strip
Timber wolf,is-Wolf
Timber wolf,need-Sheep
African elephant,is-Elephant
African elephant,has-big ears
African elephant,is-African
dove,can-Letter
Cock,can-Beep
Cock,is-Male
Cock,like-hen
Dog,can-Watchdog
Siberian Husky,is-dumb
Otarriinae,like-Seal
Jellyfish,is-Jellyfish
black swan,is-Swan
black swan,has-Long Neck
Monkey,like-Ape
fox,is-sly
fox,has-Big Tail
Raccoons,is-Bear
Raccoons,like-Panda
Crucian carp,is-Freshwater
Crucian carp,like-grass carp
Rat,is-Mouse
Koala,is-Australian
Guppy,like-Peacock
wolf,is-gregarious
carp,like-Carassius auratus
carp,like-Goldfish
hound,can-train
Totoro,is-Animation
Totoro,is-Role
mule,like-donkey
mule,is-Hybrid
Snail,is-TEDA SCREW
Leech,is-Hirudo
Leech,is-Link Class
Python,is-terrible
Python,need-Away
Yak,like-Cattle
Elk,is-Deer
Elk,like-Sika Deer
The sperm whale,is-Whale
Hen,like-rooster
Ewes,can-Raw Sheep
Ewes,is-female
cattle,can-plow
Squab,is-Pigeon
rat,has-hamster
mouse,has-wired
mouse,can-operate the computer
Leech,is-Locusts
Vulture,like-Eagle
Rabbit,need-Carrot
lizard,like-chameleon
lizard,like-Crocodile
cricket,is-Scorpion
chimpanzee,has-Hand
panda,is-National Treasure
panda,has-black circles
panda,can-be viewed
panda,like-Selenarctos thebetanus
panda,need-sleep
duck,like-Swan
duck,has-webbed feet
mole,is-rodents
swallow,like-scissors
Alpaca,like-Camel
hare,is-Rabbit
fish,like-Submarine
spider,has-eight legs
