concept,feature,________-number of participants mentioning this feature,________-number of participants rating this feature,_30_____________-normalized numer of participants mentioning this feature,COUNTIF feature,COUNTIF item
Peach,is-Plant,9,30,9,183,17
Lettuce,is-Plant,19,31,18.38709677,183,33
Tomatoes,is-Plant,10,31,9.677419355,183,22
Broccoli,is-Plant,10,30,10,183,16
coriander,is-Plant,12,30,12,183,17
Sunflower,is-Plant,25,31,24.19354839,183,30
A variety of Chinese cabbage,is-Plant,12,30,12,183,17
onion,is-Plant,11,30,11,183,17
Coconut,is-Plant,11,30,11,183,18
Lettuce,is-Plant,15,30,15,183,33
tulips,is-Plant,19,31,18.38709677,183,17
Bus,is-tools,17,29,17.5862069,176,28
knife,is-tools,12,31,11.61290323,176,25
nail,is-tools,9,29,9.310344828,176,17
Touring car,is-tools,7,30,7,176,18
Bus,is-tools,20,30,20,176,28
carriage,is-tools,22,30,22,176,17
Clock,is-tools,8,30,8,176,22
mouse,is-tools,8,30,8,176,25
Carriage,is-tools,20,30,20,176,17
clock,is-tools,10,29,10.34482759,176,22
glass,need-to Manufacture,6,30,6,169,19
Cushion,need-to Manufacture,10,31,9.677419355,169,17
Sausage,need-to Manufacture,8,30,8,169,18
tyre,need-to Manufacture,6,54,3.333333333,169,17
Bacon,need-to Manufacture,6,31,5.806451613,169,18
Belt,need-to Manufacture,8,30,8,169,22
leather jacket,need-to Manufacture,6,30,6,169,16
pot,need-to Manufacture,6,29,6.206896552,169,16
sausage,need-to Manufacture,14,31,13.5483871,169,18
belt,need-to Manufacture,7,30,7,169,22
silver birch,need-soil,10,30,10,147,19
white-barked pine,need-soil,9,30,9,147,16
Cypress,need-soil,7,28,7.5,147,16
Dionaea muscipula,need-soil,7,30,7,147,16
Daisy,need-soil,10,29,10.34482759,147,16
Daisy,need-Planting,6,29,6.206896552,147,16
Scallion,need-Planting,12,30,12,147,17
Scallion,need-soil,9,30,9,147,17
soybean,need-Planting,7,30,7,147,26
garlic,need-Planting,11,30,11,147,16
garlic,need-soil,10,30,10,147,16
Jujube,need-Planting,6,30,6,147,27
Watermelon,need-soil,9,31,8.709677419,147,36
Watermelon,need-Planting,8,31,7.741935484,147,36
tomato,need-Planting,11,30,11,147,17
tomato,need-soil,10,30,10,147,17
Cabbage,need-soil,15,30,15,147,29
Cabbage,need-Planting,8,30,8,147,29
citrus,need-Planting,6,29,6.206896552,147,17
olive,need-soil,14,31,13.5483871,147,27
olive,need-Planting,9,31,8.709677419,147,27
Olive,need-soil,17,29,17.5862069,147,27
millet,need-Planting,10,30,10,147,17
millet,need-soil,7,30,7,147,17
shrub,need-soil,15,30,15,147,17
Hami melon,need-Planting,10,30,10,147,17
Hami melon,need-soil,9,30,9,147,17
Lotus,need-Planting,9,30,9,147,37
Lotus,need-soil,6,30,6,147,37
Cucurbit,need-soil,10,30,10,147,21
Cauliflower,need-soil,10,30,10,147,17
Cauliflower,need-Planting,7,30,7,147,17
birch,need-soil,14,30,14,147,16
birch,need-Planting,8,30,8,147,16
cucumber,need-Planting,11,30,11,147,21
cucumber,need-soil,9,30,9,147,21
Honeysuckle,need-soil,9,30,9,147,20
Honeysuckle,need-Planting,6,30,6,147,20
Orange,need-Planting,8,30,8,147,16
Chrysanthemum,need-soil,12,31,11.61290323,147,19
Chrysanthemum,need-Planting,11,31,10.64516129,147,19
Cabbage,need-soil,11,30,11,147,29
Cabbage,need-Planting,7,30,7,147,29
Sunflower,need-soil,8,29,8.275862069,147,30
Sunflower,need-Planting,6,29,6.206896552,147,30
Blueberry,need-Planting,10,30,10,147,16
Blueberry,need-soil,6,30,6,147,16
litchi,need-soil,11,31,10.64516129,147,17
litchi,need-Planting,8,31,7.741935484,147,17
Durian,need-Planting,8,30,8,147,16
Durian,need-soil,6,30,6,147,16
babysbreath,need-Planting,8,29,8.275862069,147,16
babysbreath,need-soil,7,29,7.24137931,147,16
Soybean,need-soil,8,29,8.275862069,147,26
Soybean,need-Planting,7,29,7.24137931,147,26
kiwifruit,need-Planting,6,30,6,147,17
honey peach,need-Planting,8,30,8,147,28
lemon,need-Planting,7,30,7,147,16
Loquat,need-soil,11,30,11,147,19
Loquat,need-Planting,7,30,7,147,19
Grape,need-Planting,12,31,11.61290323,147,20
Grape,need-soil,7,31,6.774193548,147,20
Mulberry,need-soil,8,30,8,147,17
Mulberry,need-Planting,7,30,7,147,17
Hawthorn,need-Planting,11,31,10.64516129,147,17
Hawthorn,need-soil,8,31,7.741935484,147,17
Honey peach,need-Planting,11,30,11,147,28
Honey peach,need-soil,6,30,6,147,28
Metasequoia,need-soil,17,30,17,147,19
Metasequoia,need-Planting,7,30,7,147,19
Peach,need-Planting,11,30,11,147,17
Peach,need-soil,6,30,6,147,17
pot,need-soil,6,29,6.206896552,147,16
Lettuce,need-soil,14,31,13.5483871,147,33
Lettuce,need-Planting,8,31,7.741935484,147,33
watermelon,need-soil,13,31,12.58064516,147,36
watermelon,need-Planting,11,31,10.64516129,147,36
Tomatoes,need-Planting,11,31,10.64516129,147,22
Tomatoes,need-soil,10,31,9.677419355,147,22
Broccoli,need-Planting,9,30,9,147,16
Broccoli,need-soil,7,30,7,147,16
coriander,need-Planting,13,30,13,147,17
coriander,need-soil,11,30,11,147,17
Sunflower,need-soil,11,31,10.64516129,147,30
Sunflower,need-Planting,6,31,5.806451613,147,30
A variety of Chinese cabbage,need-Planting,9,30,9,147,17
A variety of Chinese cabbage,need-soil,6,30,6,147,17
onion,need-soil,7,30,7,147,17
onion,need-Planting,7,30,7,147,17
Coconut,need-Planting,7,30,7,147,18
Coconut,need-soil,6,30,6,147,18
Cherry,need-Planting,8,30,8,147,17
Cherry,need-soil,6,30,6,147,17
Lettuce,need-soil,14,30,14,147,33
Lettuce,need-Planting,9,30,9,147,33
grapefruit,need-Planting,12,30,12,147,17
tulips,need-soil,19,31,18.38709677,147,17
tulips,need-Planting,11,31,10.64516129,147,17
Jujube,need-soil,6,30,6,147,27
Cushion,can-Buy,9,31,8.709677419,143,17
lemon,can-Buy,6,30,6,143,16
leather jacket,can-Buy,6,30,6,143,16
Oysters,can-Buy,6,30,6,143,24
belt,can-Buy,6,30,6,143,22
gym shoes,can-Buy,7,29,7.24137931,143,16
zebra,has-Eyes,6,28,6.428571429,130,25
leopard,has-Eyes,13,30,13,130,40
Persian cat,has-Eyes,10,29,10.34482759,130,18
Timber wolf,has-Eyes,14,30,14,130,24
Carp,has-Eyes,13,29,13.44827586,130,32
Viper,has-Eyes,8,30,8,130,27
Turbot,has-Eyes,14,30,14,130,16
goose,has-Eyes,8,30,8,130,17
moth,has-Eyes,8,29,8.275862069,130,19
Viper,has-Eyes,6,29,6.206896552,130,27
Cock,has-Eyes,9,30,9,130,20
Dog,has-Eyes,9,29,9.310344828,130,22
Siberian Husky,has-Eyes,15,31,14.51612903,130,19
Seagull,has-Eyes,8,30,8,130,16
Sea snake,has-Eyes,7,30,7,130,18
Otarriinae,has-Eyes,12,30,12,130,16
panther,has-Eyes,9,29,9.310344828,130,20
black swan,has-Eyes,6,30,6,130,17
Monkey,has-Eyes,8,29,8.275862069,130,29
monkey,has-Eyes,9,30,9,130,29
fox,has-Eyes,8,30,8,130,17
Raccoons,has-Eyes,11,30,11,130,20
Crucian carp,has-Eyes,9,30,9,130,17
Rat,has-Eyes,12,30,12,130,21
whale,has-Eyes,10,33,9.090909091,130,18
Koala,has-Eyes,11,30,11,130,18
Guppy,has-Eyes,8,28,8.571428571,130,17
Dinosaur,has-Eyes,9,30,9,130,17
The Dachshund,has-Eyes,10,29,10.34482759,130,19
wolf,has-Eyes,8,29,8.275862069,130,22
tiger,has-Eyes,7,31,6.774193548,130,23
mouse,has-Eyes,12,30,12,130,25
carp,has-Eyes,9,30,9,130,32
Cheetah,has-Eyes,8,30,8,130,25
Totoro,has-Eyes,10,29,10.34482759,130,16
mule,has-Eyes,9,30,9,130,16
Python,has-Eyes,16,47,10.21276596,130,30
Yak,has-Eyes,6,30,6,130,18
Elk,has-Eyes,12,30,12,130,19
The sperm whale,has-Eyes,7,30,7,130,19
Hen,has-Eyes,8,30,8,130,18
Ewes,has-Eyes,10,30,10,130,21
cattle,has-Eyes,16,31,15.48387097,130,31
penguin,has-Eyes,13,31,12.58064516,130,17
snake,has-Eyes,8,31,7.741935484,130,19
lion,has-Eyes,11,30,11,130,23
rat,has-Eyes,9,30,9,130,21
Chow Chow,has-Eyes,9,30,9,130,16
Swan,has-Eyes,7,31,6.774193548,130,18
Vulture,has-Eyes,9,28,9.642857143,130,16
rabbit,has-Eyes,10,30,10,130,35
Rabbit,has-Eyes,13,30,13,130,35
ostrich,has-Eyes,10,30,10,130,16
lizard,has-Eyes,20,50,12,130,30
cricket,has-Eyes,12,59,6.101694915,130,24
chimpanzee,has-Eyes,8,30,8,130,18
panda,has-Eyes,11,29,11.37931034,130,23
mole,has-Eyes,8,30,8,130,16
swallow,has-Eyes,8,31,7.741935484,130,17
Alpaca,has-Eyes,8,30,8,130,21
pheasant,has-Eyes,8,29,8.275862069,130,16
hare,has-Eyes,8,30,8,130,21
Bungarus multicinctus,has-Eyes,9,29,9.310344828,130,18
fish,has-Eyes,13,30,13,130,16
grasshopper,has-Eyes,9,30,9,130,17
Robins,has-Eyes,6,29,6.206896552,130,17
spider,has-Eyes,7,30,7,130,17
Glass,has-many colors,6,30,6,123,19
Jujube,has-many colors,6,30,6,123,27
seaweed,has-many colors,6,29,6.206896552,123,29
Lotus,has-many colors,6,30,6,123,37
Chrysanthemum,has-many colors,11,31,10.64516129,123,19
Guppy,has-many colors,11,28,11.78571429,123,17
babysbreath,has-many colors,7,29,7.24137931,123,16
Grape,has-many colors,7,31,6.774193548,123,20
Mulberry,has-many colors,6,30,6,123,17
pot,has-many colors,7,29,7.24137931,123,16
tulips,has-many colors,7,31,6.774193548,123,17
silver birch,has-leaves,15,30,15,118,19
silver birch,has-leaves,8,30,8,118,19
white-barked pine,has-leaves,9,30,9,118,16
white-barked pine,has-leaves,9,30,9,118,16
Cypress,has-leaves,14,28,15,118,16
Cypress,has-leaves,9,28,9.642857143,118,16
Dionaea muscipula,has-leaves,19,30,19,118,16
Daisy,has-leaves,10,29,10.34482759,118,16
Scallion,has-leaves,15,30,15,118,17
tomato,has-leaves,6,30,6,118,17
Cabbage,has-leaves,17,30,17,118,29
olive,has-leaves,8,31,7.741935484,118,27
Olive,has-leaves,23,29,23.79310345,118,27
shrub,has-leaves,20,30,20,118,17
seaweed,has-leaves,12,30,12,118,29
seaweed,has-leaves,6,29,6.206896552,118,29
Lotus,has-leaves,8,30,8,118,37
Cauliflower,has-leaves,18,30,18,118,17
birch,has-leaves,18,30,18,118,16
Honeysuckle,has-leaves,11,30,11,118,20
Chrysanthemum,has-leaves,9,31,8.709677419,118,19
Cabbage,has-leaves,16,30,16,118,29
Sunflower,has-leaves,7,29,7.24137931,118,30
Lotus,has-leaves,7,30,7,118,37
babysbreath,has-leaves,11,29,11.37931034,118,16
Loquat,has-leaves,6,30,6,118,19
Metasequoia,has-leaves,24,30,24,118,19
Lettuce,has-leaves,20,31,19.35483871,118,33
Broccoli,has-leaves,11,30,11,118,16
coriander,has-leaves,19,30,19,118,17
Sunflower,has-leaves,17,31,16.4516129,118,30
A variety of Chinese cabbage,has-leaves,26,30,26,118,17
Lettuce,has-leaves,22,30,22,118,33
tulips,has-leaves,12,31,11.61290323,118,17
Bus,need-electricity,6,29,6.206896552,110,28
Refrigerator,need-electricity,26,31,25.16129032,110,18
Refrigerator,need-electricity,29,30,29,110,18
Clock,need-electricity,11,30,11,110,22
mouse,need-electricity,14,30,14,110,25
clock,need-electricity,12,29,12.4137931,110,22
silver birch,is-white,8,30,8,108,19
white-barked pine,is-white,7,30,7,108,16
zebra,is-white,14,28,15,108,25
Persian cat,is-white,8,29,8.275862069,108,18
Scallion,is-white,7,30,7,108,17
garlic,is-white,10,30,10,108,16
Soybean Milk,is-white,12,29,12.4137931,108,16
goose,is-white,16,30,16,108,17
dove,is-white,7,30,7,108,16
Seagull,is-white,8,30,8,108,16
Lotus,is-white,7,30,7,108,37
Cauliflower,is-white,16,30,16,108,17
birch,is-white,6,30,6,108,16
litchi,is-white,7,31,6.774193548,108,17
babysbreath,is-white,7,29,7.24137931,108,16
Ewes,is-white,6,30,6,108,21
penguin,is-white,8,31,7.741935484,108,17
Swan,is-white,12,31,11.61290323,108,18
rabbit,is-white,7,30,7,108,35
Rabbit,is-white,10,30,10,108,35
A variety of Chinese cabbage,is-white,8,30,8,108,17
panda,is-white,11,29,11.37931034,108,23
duck,is-white,6,29,6.206896552,108,17
Alpaca,is-white,6,30,6,108,21
Coconut,is-white,6,30,6,108,18
trousers,is-Clothing,13,30,13,107,18
trousers,is-Clothing,9,30,9,107,18
leather jacket,is-Clothing,23,30,23,107,16
leather jacket,is-Clothing,6,30,6,107,16
trousers,is-Clothing,13,30,13,107,18
trousers,is-Clothing,9,30,9,107,18
silver birch,can-View,12,30,12,98,19
white-barked pine,can-View,9,30,9,98,16
Cypress,is-Green,12,28,12.85714286,98,16
Cypress,can-View,9,28,9.642857143,98,16
Dionaea muscipula,is-Green,12,30,12,98,16
Dionaea muscipula,can-View,6,30,6,98,16
Daisy,can-View,15,29,15.51724138,98,16
Scallion,is-Green,16,30,16,98,17
Watermelon,is-Green,10,31,9.677419355,98,36
Turbot,can-View,8,30,8,98,16
African elephant,can-View,8,31,7.741935484,98,19
Cabbage,is-Green,12,30,12,98,29
olive,is-Green,11,31,10.64516129,98,27
Olive,is-Green,7,29,7.24137931,98,27
shrub,can-View,9,30,9,98,17
shrub,is-Green,7,30,7,98,17
Hami melon,is-Green,7,30,7,98,17
seaweed,is-Green,18,30,18,98,29
Seaweed,is-Green,9,29,9.310344828,98,29
seaweed,is-Green,8,29,8.275862069,98,29
Lotus,can-View,27,30,27,98,37
black swan,can-View,8,30,8,98,17
Cucurbit,is-Green,13,30,13,98,21
birch,can-View,6,30,6,98,16
cucumber,is-Green,19,30,19,98,21
Chrysanthemum,can-View,22,31,21.29032258,98,19
Cabbage,is-Green,14,30,14,98,29
Koala,can-View,9,30,9,98,18
Guppy,can-View,22,28,23.57142857,98,17
Sunflower,can-View,13,29,13.44827586,98,30
carp,can-View,7,30,7,98,32
Lotus,can-View,27,30,27,98,37
babysbreath,can-View,16,29,16.55172414,98,16
Soybean,is-Green,18,29,18.62068966,98,26
kiwifruit,is-Green,9,30,9,98,17
Grape,is-Green,7,31,6.774193548,98,20
Jellyfish,can-View,9,30,9,98,29
Metasequoia,can-View,17,30,17,98,19
Metasequoia,is-Green,9,30,9,98,19
Swan,can-View,12,31,11.61290323,98,18
ostrich,can-View,6,30,6,98,16
Lettuce,is-Green,14,31,13.5483871,98,33
watermelon,is-Green,11,31,10.64516129,98,36
Broccoli,is-Green,19,30,19,98,16
lizard,is-Green,8,50,4.8,98,30
cricket,is-Green,9,59,4.576271186,98,24
coriander,is-Green,13,30,13,98,17
Sunflower,can-View,14,31,13.5483871,98,30
A variety of Chinese cabbage,is-Green,14,30,14,98,17
Lettuce,is-Green,22,30,22,98,33
fish,can-View,6,30,6,98,16
tulips,can-View,27,31,26.12903226,98,17
grasshopper,is-Green,10,30,10,98,17
leopard,has-Skin,8,30,8,97,40
soybean,has-skin,6,30,6,97,26
garlic,has-skin,6,30,6,97,16
Jujube,has-skin,6,30,6,97,27
Watermelon,has-skin,10,31,9.677419355,97,36
tomato,has-skin,12,30,12,97,17
citrus,has-skin,18,29,18.62068966,97,17
olive,has-skin,6,31,5.806451613,97,27
Hami melon,has-skin,15,30,15,97,17
Cucurbit,has-skin,11,30,11,97,21
cucumber,has-skin,9,30,9,97,21
Orange,has-skin,15,30,15,97,16
Blueberry,has-skin,6,30,6,97,16
wolf,has-Skin,6,29,6.206896552,97,22
tiger,has-Skin,6,31,5.806451613,97,23
mouse,has-Skin,6,30,6,97,25
litchi,has-skin,7,31,6.774193548,97,17
Cheetah,has-Skin,10,30,10,97,25
Durian,has-skin,6,30,6,97,16
Python,has-Skin,8,47,5.106382979,97,30
Soybean,has-skin,6,29,6.206896552,97,26
kiwifruit,has-skin,24,30,24,97,17
honey peach,has-skin,12,30,12,97,28
lemon,has-skin,17,30,17,97,16
Loquat,has-skin,13,30,13,97,19
Grape,has-skin,11,31,10.64516129,97,20
Hawthorn,has-skin,16,31,15.48387097,97,17
snake,has-skin,9,31,8.709677419,97,19
Honey peach,has-skin,13,30,13,97,28
Peach,has-skin,18,30,18,97,17
rabbit,has-Skin,6,30,6,97,35
Lettuce,has-skin,7,31,6.774193548,97,33
watermelon,has-skin,16,31,15.48387097,97,36
Tomatoes,has-skin,14,31,13.5483871,97,22
lizard,has-Skin,6,50,3.6,97,30
onion,has-skin,10,30,10,97,17
Cherry,has-skin,10,30,10,97,17
grapefruit,has-skin,19,30,19,97,17
Jujube,has-skin,9,30,9,97,27
trousers,can-Wear,16,30,16,95,18
leather jacket,can-Wear,15,30,15,95,16
gym shoes,can-Wear,20,30,20,95,16
gym shoes,can-Wear,10,29,10.34482759,95,16
trousers,can-Wear,17,30,17,95,18
Jujube,is-Sweet,11,30,11,93,27
citrus,is-Sweet,11,29,11.37931034,93,17
Hami melon,is-Sweet,21,30,21,93,17
Orange,is-Sweet,10,30,10,93,16
Blueberry,is-Sweet,15,30,15,93,16
litchi,is-Sweet,11,31,10.64516129,93,17
kiwifruit,is-Sweet,9,30,9,93,17
honey peach,is-Sweet,9,30,9,93,28
Loquat,is-Sweet,6,30,6,93,19
Grape,is-Sweet,13,31,12.58064516,93,20
Mulberry,is-Sweet,15,30,15,93,17
Honey peach,is-Sweet,19,30,19,93,28
Peach,is-Sweet,12,30,12,93,17
watermelon,is-Sweet,11,31,10.64516129,93,36
Tomatoes,is-Sweet,8,31,7.741935484,93,22
Cherry,is-Sweet,11,30,11,93,17
grapefruit,is-Sweet,10,30,10,93,17
Jujube,is-Sweet,9,30,9,93,27
Tyrannosaurus Rex,has-mouth,7,28,7.5,91,16
zebra,has-mouth,7,28,7.5,91,25
leopard,has-mouth,10,30,10,91,40
Timber wolf,has-mouth,8,30,8,91,24
Carp,has-mouth,6,29,6.206896552,91,32
Turbot,has-mouth,8,30,8,91,16
goose,has-mouth,15,30,15,91,17
African elephant,has-mouth,7,31,6.774193548,91,19
dove,has-mouth,11,30,11,91,16
Cock,has-mouth,12,30,12,91,20
Dog,has-mouth,9,29,9.310344828,91,22
Siberian Husky,has-mouth,15,31,14.51612903,91,19
Seagull,has-mouth,18,30,18,91,16
Sea snake,has-mouth,6,30,6,91,18
panther,has-mouth,7,29,7.24137931,91,20
black swan,has-mouth,6,30,6,91,17
Monkey,has-mouth,7,29,7.24137931,91,29
fox,has-mouth,7,30,7,91,17
Raccoons,has-mouth,8,30,8,91,20
whale,has-mouth,6,33,5.454545455,91,18
Koala,has-mouth,6,30,6,91,18
Dinosaur,has-mouth,6,30,6,91,17
The Dachshund,has-mouth,14,29,14.48275862,91,19
tiger,has-mouth,9,31,8.709677419,91,23
mouse,has-mouth,10,30,10,91,25
Cheetah,has-mouth,8,30,8,91,25
hound,has-mouth,8,30,8,91,21
mule,has-mouth,11,30,11,91,16
Leech,has-mouth,6,29,6.206896552,91,27
Python,has-mouth,9,47,5.744680851,91,30
Elk,has-mouth,7,30,7,91,19
Hen,has-mouth,12,30,12,91,18
Ewes,has-mouth,11,30,11,91,21
cattle,has-mouth,9,31,8.709677419,91,31
penguin,has-mouth,11,31,10.64516129,91,17
Squab,has-mouth,8,30,8,91,16
snake,has-mouth,8,31,7.741935484,91,19
lion,has-mouth,9,30,9,91,23
rat,has-mouth,8,30,8,91,21
Chow Chow,has-mouth,7,30,7,91,16
Swan,has-mouth,12,31,11.61290323,91,18
Vulture,has-mouth,11,28,11.78571429,91,16
ostrich,has-mouth,8,30,8,91,16
lizard,has-mouth,12,50,7.2,91,30
cricket,has-mouth,8,59,4.06779661,91,24
chimpanzee,has-mouth,8,30,8,91,18
panda,has-mouth,7,29,7.24137931,91,23
duck,has-mouth,10,29,10.34482759,91,17
mole,has-mouth,10,30,10,91,16
swallow,has-mouth,12,31,11.61290323,91,17
Alpaca,has-mouth,8,30,8,91,21
pheasant,has-mouth,11,29,11.37931034,91,16
hare,has-mouth,6,30,6,91,21
fish,has-mouth,7,30,7,91,16
Robins,has-mouth,14,29,14.48275862,91,17
Cushion,has-Cloth,6,31,5.806451613,87,17
trousers,has-Cloth,12,30,12,87,18
belt,has-Cloth,6,30,6,87,22
trousers,has-Cloth,14,30,14,87,18
Cushion,has-Cloth,8,28,8.571428571,87,17
Tyrannosaurus Rex,has-tail,13,28,13.92857143,85,16
zebra,has-tail,10,28,10.71428571,85,25
leopard,has-tail,12,30,12,85,40
Persian cat,has-tail,13,29,13.44827586,85,18
Timber wolf,has-tail,12,30,12,85,24
Carp,has-tail,14,29,14.48275862,85,32
Viper,has-tail,8,30,8,85,27
Turbot,has-tail,11,30,11,85,16
African elephant,has-tail,7,31,6.774193548,85,19
Viper,has-tail,7,29,7.24137931,85,27
Cock,has-tail,7,30,7,85,20
Dog,has-tail,10,29,10.34482759,85,22
Siberian Husky,has-tail,17,31,16.4516129,85,19
Sea snake,has-tail,7,30,7,85,18
Otarriinae,has-tail,12,30,12,85,16
panther,has-tail,12,29,12.4137931,85,20
Monkey,has-tail,15,29,15.51724138,85,29
monkey,has-tail,17,30,17,85,29
fox,has-tail,17,30,17,85,17
Raccoons,has-tail,10,30,10,85,20
cattle,has-tail,10,30,10,85,31
Crucian carp,has-tail,15,30,15,85,17
Rat,has-tail,21,30,21,85,21
leopard,has-tail,6,30,6,85,40
whale,has-tail,15,33,13.63636364,85,18
Guppy,has-tail,11,28,11.78571429,85,17
Dinosaur,has-tail,12,30,12,85,17
The Dachshund,has-tail,11,29,11.37931034,85,19
wolf,has-tail,7,29,7.24137931,85,22
tiger,has-tail,11,31,10.64516129,85,23
mouse,has-tail,21,30,21,85,25
carp,has-tail,13,30,13,85,32
Cheetah,has-tail,14,30,14,85,25
hound,has-tail,9,30,9,85,21
Totoro,has-tail,6,29,6.206896552,85,16
mule,has-tail,17,30,17,85,16
Python,has-tail,10,47,6.382978723,85,30
Yak,has-tail,6,30,6,85,18
The sperm whale,has-tail,13,30,13,85,19
cattle,has-tail,13,31,12.58064516,85,31
snake,has-tail,9,31,8.709677419,85,19
lion,has-tail,15,30,15,85,23
rat,has-tail,21,30,21,85,21
Chow Chow,has-tail,7,30,7,85,16
rabbit,has-tail,9,30,9,85,35
Rabbit,has-tail,9,30,9,85,35
lizard,has-tail,36,50,21.6,85,30
chimpanzee,has-tail,8,30,8,85,18
mole,has-tail,14,30,14,85,16
swallow,has-tail,8,31,7.741935484,85,17
Alpaca,has-tail,6,30,6,85,21
hare,has-tail,6,30,6,85,21
Bungarus multicinctus,has-tail,9,29,9.310344828,85,18
fish,has-tail,19,30,19,85,16
Knife,is-metal,9,30,9,84,25
knife,is-metal,8,31,7.741935484,84,25
nail,is-metal,8,29,8.275862069,84,17
pot,is-metal,11,30,11,84,16
Belt,is-metal,6,30,6,84,22
silver birch,has-roots,13,30,13,80,19
silver birch,has-roots,6,30,6,80,19
white-barked pine,has-roots,7,30,7,80,16
Cypress,has-roots,13,28,13.92857143,80,16
Cypress,has-roots,9,28,9.642857143,80,16
Dionaea muscipula,has-roots,12,30,12,80,16
Scallion,has-roots,16,30,16,80,17
Cabbage,has-roots,10,30,10,80,29
Olive,has-roots,9,29,9.310344828,80,27
shrub,has-roots,12,30,12,80,17
seaweed,has-roots,6,30,6,80,29
Lotus,has-roots,6,30,6,80,37
Cauliflower,has-roots,7,30,7,80,17
birch,has-roots,12,30,12,80,16
Honeysuckle,has-roots,8,30,8,80,20
Chrysanthemum,has-roots,8,31,7.741935484,80,19
Cabbage,has-roots,8,30,8,80,29
Lotus,has-roots,7,30,7,80,37
Metasequoia,has-roots,14,30,14,80,19
Lettuce,has-roots,8,31,7.741935484,80,33
Broccoli,has-roots,6,30,6,80,16
coriander,has-roots,9,30,9,80,17
Sunflower,has-roots,8,31,7.741935484,80,30
A variety of Chinese cabbage,has-roots,11,30,11,80,17
Lettuce,has-roots,14,30,14,80,33
tulips,has-roots,7,31,6.774193548,80,17
trousers,has-many styles,8,30,8,79,18
zebra,need-Protection,6,28,6.428571429,78,25
leopard,need-Protection,7,30,7,78,40
African elephant,need-Protection,8,31,7.741935484,78,19
Otarriinae,need-Protection,8,30,8,78,16
black swan,need-Protection,7,30,7,78,17
Monkey,need-Protection,6,29,6.206896552,78,29
monkey,need-Protection,6,30,6,78,29
Raccoons,need-Protection,9,30,9,78,20
whale,need-Protection,11,33,10,78,18
Koala,need-Protection,8,30,8,78,18
wolf,need-Protection,6,29,6.206896552,78,22
tiger,need-Protection,8,31,7.741935484,78,23
Cheetah,need-Protection,8,30,8,78,25
Totoro,need-Protection,6,29,6.206896552,78,16
Elk,need-Protection,8,30,8,78,19
The sperm whale,need-Protection,7,30,7,78,19
penguin,need-Protection,7,31,6.774193548,78,17
lion,need-Protection,9,30,9,78,23
Metasequoia,need-Protection,8,30,8,78,19
Swan,need-Protection,11,31,10.64516129,78,18
lizard,need-Protection,7,50,4.2,78,30
panda,need-Protection,11,29,11.37931034,78,23
Robins,need-Protection,6,29,6.206896552,78,17
nail,need-Protection,8,30,8,78,17
zebra,has-Hair,10,28,10.71428571,77,25
leopard,has-Hair,11,30,11,77,40
Persian cat,has-Hair,19,29,19.65517241,77,18
Timber wolf,has-Hair,10,30,10,77,24
Dog,has-Hair,9,29,9.310344828,77,22
Siberian Husky,has-Hair,13,31,12.58064516,77,19
Otarriinae,has-Hair,6,30,6,77,16
panther,has-Hair,6,29,6.206896552,77,20
Monkey,has-Hair,13,29,13.44827586,77,29
monkey,has-Hair,12,30,12,77,29
fox,has-Hair,13,30,13,77,17
Raccoons,has-Hair,14,30,14,77,20
Rat,has-Hair,8,30,8,77,21
leopard,has-Hair,11,30,11,77,40
Koala,has-Hair,13,30,13,77,18
The Dachshund,has-Hair,6,29,6.206896552,77,19
wolf,has-Hair,11,29,11.37931034,77,22
tiger,has-Hair,12,31,11.61290323,77,23
mouse,has-Hair,11,30,11,77,25
Cheetah,has-Hair,11,30,11,77,25
hound,has-Hair,9,30,9,77,21
Totoro,has-Hair,13,29,13.44827586,77,16
Soybean,has-Hair,12,29,12.4137931,77,26
Yak,has-Hair,15,30,15,77,18
kiwifruit,has-Hair,18,30,18,77,17
honey peach,has-Hair,11,30,11,77,28
Ewes,has-Hair,16,30,16,77,21
penguin,has-Hair,8,31,7.741935484,77,17
lion,has-Hair,18,30,18,77,23
Honey peach,has-Hair,7,30,7,77,28
Chow Chow,has-Hair,19,30,19,77,16
Peach,has-Hair,10,30,10,77,17
rabbit,has-Hair,11,30,11,77,35
Rabbit,has-Hair,10,30,10,77,35
chimpanzee,has-Hair,17,30,17,77,18
panda,has-Hair,8,29,8.275862069,77,23
mole,has-Hair,14,30,14,77,16
Alpaca,has-Hair,19,30,19,77,21
hare,has-Hair,14,30,14,77,21
zebra,need-to sleep,6,28,6.428571429,73,25
Persian cat,need-to sleep,8,29,8.275862069,73,18
Timber wolf,need-to sleep,6,30,6,73,24
goose,need-to sleep,6,30,6,73,17
African elephant,need-to sleep,6,31,5.806451613,73,19
dove,need-to sleep,8,30,8,73,16
Cock,need-to sleep,6,30,6,73,20
Dog,need-to sleep,10,29,10.34482759,73,22
Siberian Husky,need-to sleep,6,31,5.806451613,73,19
Seagull,need-to sleep,7,30,7,73,16
panther,need-to sleep,12,29,12.4137931,73,20
Monkey,need-to sleep,6,29,6.206896552,73,29
fox,need-to sleep,6,30,6,73,17
Raccoons,need-to sleep,9,30,9,73,20
Rat,need-to sleep,6,30,6,73,21
whale,need-to sleep,7,33,6.363636364,73,18
